transfer_code_old,transfer_code_new,package_itinerary_id,package_itinerary_title,day_index,itinerary_index,status,reason,old_module_id_found,new_title,transfer_collection,mode
TRA_56330,ATRA_57821,68e660e06d75b94945ca5de5,Japan With The Crew,1,1,skipped,package_itinerary not found,,,,dry_run
RAIL_56210,RAIL_56210,68e660e06d75b94945ca5de5,Japan With The Crew,4,1,skipped,package_itinerary not found,,,,dry_run
TRA_56324,ATRA_57820,68e660e06d75b94945ca5de5,Japan With The Crew,6,1,skipped,package_itinerary not found,,,,dry_run
TRA_56323,ATRA_57819,68e660e06d75b94945ca5dec,Sakura Escape,1,1,skipped,package_itinerary not found,,,,dry_run
RAIL_56327,RAIL_56327,68e660e06d75b94945ca5dec,Sakura Escape,4,1,skipped,package_itinerary not found,,,,dry_run
TRA_56326,ATRA_57828,68e660e06d75b94945ca5dec,Sakura Escape,7,1,skipped,package_itinerary not found,,,,dry_run
TRA_56330,ATRA_57821,68e660e06d75b94945ca5df6,The Japan Journey,1,1,skipped,package_itinerary not found,,,,dry_run
RAIL_56209,RAIL_56209,68e660e06d75b94945ca5df6,The Japan Journey,4,1,skipped,package_itinerary not found,,,,dry_run
RAIL_56328,RAIL_56328,68e660e06d75b94945ca5df6,The Japan Journey,6,1,skipped,package_itinerary not found,,,,dry_run
TRA_56322,ATRA_57818,68e660e06d75b94945ca5df6,The Japan Journey,9,1,skipped,package_itinerary not found,,,,dry_run
TRA_56323,ATRA_57819,68e660e06d75b94945ca5dfb,Tokyo & Kyoto Discovery,1,1,skipped,package_itinerary not found,,,,dry_run
RAIL_56327,RAIL_56327,68e660e06d75b94945ca5dfb,Tokyo & Kyoto Discovery,4,1,skipped,package_itinerary not found,,,,dry_run
TRA_56326,ATRA_57828,68e660e06d75b94945ca5dfb,Tokyo & Kyoto Discovery,6,1,skipped,package_itinerary not found,,,,dry_run
