activity_code_old,activity_code_new,match_type,package_itinerary_id,package_itinerary_slug,package_itinerary_title,day_index,itinerary_index,status,reason,old_module_id_found,new_title,new_activity_id,mode
E-E10-25SYLI0016,TRA_57809,Similar,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,8,1,skipped,new activity TRA_57809 not found in activity collection,E-E10-25SYLI0016,,,dry_run
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,3,1,skipped,new activity TRA_57779 not found in activity collection,E-E10-JP-NRTJ18,,,dry_run
E-E10-A1NSNO0788,320011,New Activity,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,5,3,skipped,new activity 320011 not found in activity collection,E-E10-A1NSNO0788,,,dry_run
E-E10-JP-KIXJ3,TRA_57829,Similar,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,6,1,skipped,new activity TRA_57829 not found in activity collection,E-E10-JP-KIXJ3,,,dry_run
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,7,1,skipped,new activity 489377 not found in activity collection,E-E10-JP-KIXJ11,,,dry_run
E-E10-A1NSNO0810,546327,Similar,68e660e06d75b94945ca5de4,japan-family-quest,Japan Family Quest,10,1,skipped,new activity 546327 not found in activity collection,E-E10-A1NSNO0810,,,dry_run
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5de5,japan-with-the-crew,Japan With The Crew,3,1,skipped,new activity 489377 not found in activity collection,E-E10-JP-KIXJ11,,,dry_run
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5dce,a-japenese-love-story,A Japenese Love Story,3,1,skipped,new activity TRA_57779 not found in activity collection,E-E10-JP-NRTJ18,,,dry_run
E-E10-A1NSNO0788,320011,New Activity,68e660e06d75b94945ca5dce,a-japenese-love-story,A Japenese Love Story,5,3,skipped,new activity 320011 not found in activity collection,E-E10-A1NSNO0788,,,dry_run
E-E10-JP-KIXJ3,TRA_57829,Similar,68e660e06d75b94945ca5dce,a-japenese-love-story,A Japenese Love Story,6,1,skipped,new activity TRA_57829 not found in activity collection,E-E10-JP-KIXJ3,,,dry_run
