activity_code,activity_id,title,price_count,image_count,status,reason,mode
E-E10-A0VWNO0270,68caf51f38bc2f92a80ba398,Kyoto and Nara(Beef Shabu-Shabu) from Osaka Namba,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0305,68caf51f38bc2f92a80ba3ad,"Arashiyama3H, Nara, KobeMOSAIC(Halal) from Osaka Nippombashi",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0259,68caf51f38bc2f92a80ba381,"Fushimi, Kiyomizu, Kinkakuji, Arashiyama(Deluxe Japanese-style) from Osaka Namba",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0245,68caf51f38bc2f92a80ba384,Day Trip by Bus to Arashiyama3H and Nara (Halal) from Osaka Namba,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0284,68caf51f38bc2f92a80ba3a0,Arashiyama 3H and Nara (Beef Shabu-Shabu) from Osaka Nippombashi,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0300,68caf51f38bc2f92a80ba3a9,"Arashiyama3H, Nara, KobeMOSAIC(Buffet) from Osaka Namba",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0306,68caf51f38bc2f92a80ba3ae,"Arashiyama3H, Nara, KobeMOSAIC(Halal) from Osaka Umeda",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0271,68caf51f38bc2f92a80ba39a,Kyoto and Nara(Beef Shabu-Shabu) from Osaka Nippombashi,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0292,68caf51f38bc2f92a80ba3a6,"Arashiyama3H, Nara, KobeMOSAIC(Beef Shabu-Shabu) from Osaka Namba",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0273,68caf51f38bc2f92a80ba395,Kyoto and Nara(Beef Shabu-Shabu) from Osaka Umeda,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0289,68caf51f38bc2f92a80ba3a4,"Kyoto, Nara and KobeMOSAIC (Halal) from Osaka Nippombashi",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0277,68caf51f38bc2f92a80ba399,Kyoto and Nara (Buffet) from Osaka Umeda,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0279,68caf51f38bc2f92a80ba39b,Kyoto and Nara (Halal) from Osaka Namba,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0285,68caf51f38bc2f92a80ba3a1,Arashiyama 3H and Nara (Beef Shabu-Shabu) from Osaka Umeda,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0260,68caf51f38bc2f92a80ba388,"Fushimi, Kiyomizu, Kinkakuji, Arashiyama(DeluxeJapanese-style) from Osaka Umeda",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0249,68caf51f38bc2f92a80ba389,"Kyoto, Nara and KobeMOSAIC (Beef Shabu-Shabu) from Osaka Namba",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0268,68caf51f38bc2f92a80ba394,"Fushimi, Kiyomizu, Kinkakuji, Arashiyama (Halal) from Osaka Umeda",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0280,68caf51f38bc2f92a80ba39c,Kyoto and Nara (Halal) from Osaka Nippombashi,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0243,68caf51f38bc2f92a80ba383,Arashiyama3H and Nara (Buffet) from Osaka Umeda,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0287,68caf51f38bc2f92a80ba3a2,Day Trip by Bus to Arashiyama 3H and Nara (Buffet) from Osaka Namba,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0301,68caf51f38bc2f92a80ba3aa,"Arashiyama3H, Nara, KobeMOSAIC(Buffet) from Osaka Nippombashi",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0298,68caf51f38bc2f92a80ba3a8,"Arashiyama3H, Nara, KobeMOSAIC(Beef Shabu-Shabu) from Osaka Umeda",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0272,68caf51f38bc2f92a80ba387,"Fushimi, Kiyomizu, Kinkakuji, Arashiyama(DeluxeJapanese-style) from Osaka Nippombashi",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0263,68caf51f38bc2f92a80ba38d,"Fushimi, Kiyomizu, Kinkakuji, Arashiyama from Osaka Nippombashi",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0255,68caf51f38bc2f92a80ba382,Arashiyama3H and Nara (Buffet) from Osaka Nippombashi,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0283,68caf51f38bc2f92a80ba39f,Arashiyama 3H and Nara (Beef Shabu-Shabu) from Osaka Namba,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0487,68caf51f38bc2f92a80ba3e7,Kyoto Casual Pontocho Food Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0251,68caf51f38bc2f92a80ba38b,"Kyoto, Nara and KobeMOSAIC (Beef Shabu-Shabu) from Osaka Umeda",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0246,68caf51f38bc2f92a80ba385,Arashiyama3H and Nara (Halal) from Osaka Nippombashi,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0297,68caf51f38bc2f92a80ba3a7,"Arashiyama3H, Nara, KobeMOSAIC(Beef Shabu-Shabu) from Osaka",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0304,68caf51f38bc2f92a80ba3ac,"Arashiyama3H, Nara, KobeMOSAIC(Halal) from Osaka Namba",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0488,68caf51f38bc2f92a80ba3e8,Absolute Osaka Food Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0262,68caf51f38bc2f92a80ba38c,"Fushimi, Kiyomizu, Kinkakuji, Arashiyama(Japanese-style) from Osaka Namba",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0247,68caf51f38bc2f92a80ba386,Arashiyama3H and Nara (Halal) from Osaka Umeda,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0257,68caf51f38bc2f92a80ba393,"Kyoto, Nara and KobeMOSAIC (Buffet) from Osaka Umeda",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0276,68caf51f38bc2f92a80ba397,Kyoto and Nara (Buffet) from Osaka Nippombashi,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0290,68caf51f38bc2f92a80ba3a5,"Kyoto, Nara and KobeMOSAIC (Halal) from Osaka Umeda",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0443,68caf51f38bc2f92a80ba3dd,Half-Day Cruise Of Osaka With Hotel Pick-up,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0250,68caf51f38bc2f92a80ba38a,"Kyoto, Nara and KobeMOSAIC (Beef Shabu-Shabu) from Osaka Nippombashi",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0196,68caf51f38bc2f92a80ba37e,Best of Hiroshima Night Food Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0267,68caf51f38bc2f92a80ba390,"Fushimi, Kiyomizu, Kinkakuji, Arashiyama (Halal) from Osaka Nippombashi",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0253,68caf51f38bc2f92a80ba391,"Kyoto, Nara and KobeMOSAIC (Buffet) from Osaka Namba",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0288,68caf51f38bc2f92a80ba3a3,"Kyoto, Nara and KobeMOSAIC (Halal) from Osaka Namba",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0281,68caf51f38bc2f92a80ba39e,Kyoto and Nara (Halal) from Osaka Umeda,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0254,68caf51f38bc2f92a80ba392,"Kyoto, Nara and KobeMOSAIC (Buffet) from Osaka Nippombashi",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
