Activity ID,currency,min_threshold,max_threshold,price_per_person,price_per_vehicle,slab_type,vehicle_type
538100,USD,1,9,,376.8191489,transfer,none
538233,USD,1,6,,301.4574468,transfer,none
538234,USD,1,6,,369.287234,transfer,none
538238,USD,1,6,,414.5,transfer,none
538246,USD,1,6,,376.8191489,transfer,none
538255,USD,1,9,,376.8191489,transfer,none
538256,USD,1,9,,497.4042553,transfer,none
538469,USD,1,9,,489.8723404,transfer,none
538488,USD,1,9,,452.1914894,transfer,none
538583,USD,1,9,,527.5531915,transfer,none
538603,USD,1,9,,640.5957447,transfer,none
538611,USD,1,9,,565.2340426,transfer,none
538616,USD,1,9,,678.2765957,transfer,none
538624,USD,1,9,,640.5957447,transfer,none
539002,USD,1,6,,406.9680851,transfer,none
539003,USD,1,6,,497.4042553,transfer,none
539004,USD,1,6,,410.7340426,transfer,none
539006,USD,1,6,,331.606383,transfer,none
539007,USD,1,6,,587.8404255,transfer,none
539009,USD,1,6,,335.3723404,transfer,none
539010,USD,1,6,,489.8723404,transfer,none
539015,USD,1,6,,452.1914894,transfer,none
539019,USD,1,6,,448.4148936,transfer,none
539021,USD,1,9,,489.8723404,transfer,none
539023,USD,1,9,,478.5638298,transfer,none
539026,USD,1,9,,486.0957447,transfer,none
539029,USD,1,9,,414.5,transfer,none
539031,USD,1,9,,569,transfer,none
539032,USD,1,9,,410.7340426,transfer,none
539033,USD,1,9,,565.2340426,transfer,none
539040,USD,1,9,,561.4680851,transfer,none
539041,USD,1,9,,527.5531915,transfer,none
539046,USD,1,9,,523.787234,transfer,none
539053,USD,1,9,,640.5957447,transfer,none
539063,USD,1,9,,565.2340426,transfer,none
539070,USD,1,9,,678.2765957,transfer,none
539075,USD,1,9,,640.5957447,transfer,none
542723,USD,1,6,,297.6914894,transfer,none
542801,USD,1,6,,335.3723404,transfer,none
542807,USD,1,6,,373.0531915,transfer,none
542813,USD,1,6,,410.7340426,transfer,none
542825,USD,1,9,,354.212766,transfer,none
542830,USD,1,9,,373.0531915,transfer,none
542841,USD,1,9,,410.7340426,transfer,none
542849,USD,1,9,,448.4148936,transfer,none
545286,USD,1,7,,260.9361702,transfer,none
545743,USD,1,9,,288.4042553,transfer,none
545829,USD,1,7,,370.8085106,transfer,none
545852,USD,1,9,,422.0425532,transfer,none
545855,USD,1,7,,370.8085106,transfer,none
545862,USD,1,9,,422.0425532,transfer,none
545865,USD,1,7,,370.8085106,transfer,none
545870,USD,1,9,,422.0425532,transfer,none
545873,USD,1,7,,437.1170213,transfer,none
545877,USD,1,9,,497.4042553,transfer,none
546324,USD,1,7,,315.8723404,transfer,none
546327,USD,1,9,,329.606383,transfer,none
559934,USD,0,68,68.31914894,,ticket,none
589308,USD,1,12,64.06382979,,ticket,none
589308,USD,13,99,68.06382979,,ticket,none
589852,USD,1,6,,829.0106383,transfer,none
589859,USD,1,9,,934.5212766,transfer,none
589866,USD,1,6,,904.3723404,transfer,none
589871,USD,1,9,,994.8085106,transfer,none
590074,USD,1,3,,217.8085106,transfer,none
590074,USD,4,6,,217.8085106,transfer,none
590074,USD,7,9,,256.2340426,transfer,none
600003,USD,0,99,62.77659574,,ticket,none
600005,USD,0,99,62.77659574,,ticket,none
612629,USD,1,7,,715.9574468,transfer,none
612640,USD,1,9,,753.6489362,transfer,none
612722,USD,1,7,,715.9574468,transfer,none
612852,USD,1,9,,753.6489362,transfer,none
614438,USD,1,7,,1130.468085,transfer,none
614444,USD,1,9,,1281.191489,transfer,none
614461,USD,1,7,,1130.468085,transfer,none
614465,USD,1,9,,1281.191489,transfer,none
614476,USD,1,7,,1582.648936,transfer,none
614490,USD,1,9,,1658.021277,transfer,none
614501,USD,1,7,,1582.648936,transfer,none
